Date,Open,High,Low,Close,Adj Close, Volume 
4/1/2018,7003,9745,6527,9241,9241," 196,550,010,624 "
5/1/2018,9251,9965,7091,7494,7494," 197,611,709,696 "
6/1/2018,7501,7755,5826,6404,6404," 130,214,179,584 "
7/1/2018,6412,8424,6136,7780,7780," 141,441,939,792 "
8/1/2018,7769,7769,5971,7038,7038," 132,292,770,000 "
9/1/2018,7045,7388,6198,6626,6626," 129,745,370,000 "
10/1/2018,6620,6965,6236,6318,6318," 118,436,880,000 "
11/1/2018,6318,6552,3585,4017,4017," 158,359,524,484 "
12/1/2018,4024,4309,3191,3743,3743," 168,826,809,069 "
1/1/2019,3747,4109,3401,3458,3458," 167,335,706,864 "
2/1/2019,3461,4211,3391,3855,3855," 199,100,675,597 "
3/1/2019,3854,4297,3734,4105,4105," 297,952,790,260 "
4/1/2019,4105,5642,4097,5351,5351," 445,364,556,718 "
5/1/2019,5351,9008,5348,8575,8575," 724,157,870,864 "
6/1/2019,8574,13796,7564,10817,10817," 675,855,385,074 "
7/1/2019,10797,13130,9163,10086,10086," 676,416,326,705 "
8/1/2019,10077,12274,9422,9631,9631," 533,984,971,734 "
9/1/2019,9631,10899,7831,8294,8294," 480,544,963,230 "
10/1/2019,8300,10022,7447,9200,9200," 595,205,134,748 "
11/1/2019,9194,9505,6617,7570,7570," 676,919,523,650 "
12/1/2019,7572,7743,6540,7194,7194," 633,790,373,416 "
1/1/2020,7195,9553,6915,9351,9351," 852,872,174,496 "
2/1/2020,9346,10458,8493,8600,8600," 1,163,376,492,768 "
3/1/2020,8600,9168,4107,6439,6439," 1,290,442,059,648 "
4/1/2020,6437,9441,6202,8659,8659," 1,156,127,164,831 "
5/1/2020,8673,9997,8374,9461,9461," 1,286,368,141,507 "
6/1/2020,9464,10200,8976,9138,9138," 650,913,318,680 "
7/1/2020,9146,11416,8977,11323,11323," 545,813,339,109 "
8/1/2020,11323,12359,11012,11681,11681," 708,377,092,130 "
9/1/2020,11679,12067,9916,10784,10784," 1,075,949,438,431 "
10/1/2020,10795,14028,10417,13781,13781," 1,050,874,546,086 "
11/1/2020,13781,19749,13243,19626,19626," 1,093,144,913,227 "
12/1/2020,19634,29245,17620,29002,29002," 1,212,259,707,946 "
1/1/2021,28994,41947,28723,33114,33114," 2,153,473,433,571 "
2/1/2021,33115,58331,32384,45138,45138," 2,267,152,936,675 "
3/1/2021,45160,61684,45115,58919,58919," 1,681,184,264,687 "
4/1/2021,58927,64863,47159,57750,57750," 1,844,481,772,417 "
5/1/2021,57715,59519,30681,37333,37333," 1,976,593,438,572 "
6/1/2021,37294,41295,28894,35041,35041," 1,189,647,451,707 "
7/1/2021,35036,42236,29361,41626,41626," 819,103,381,204 "
8/1/2021,41461,50482,37458,47167,47167," 1,014,674,184,428 "
9/1/2021,47100,52854,39788,43791,43791," 1,102,139,678,824 "
10/1/2021,43817,66930,43320,61319,61319," 1,153,077,903,534 "
11/1/2021,61320,68790,53570,57005,57005," 1,053,270,271,383 "
12/1/2021,56908,59042,42875,46306,46306," 957,047,184,722 "
1/1/2022,46312,47881,33184,38483,38483," 923,979,037,681 "
2/1/2022,38482,45661,34459,43193,43193," 671,335,993,325 "
3/1/2022,43195,48087,37260,45539,45539," 830,943,838,435 "
4/1/2022,45554,47313,37698,37715,37715," 830,115,888,649 "
5/1/2022,37713,39903,26350,31792,31792," 1,105,689,315,990 "
6/1/2022,31793,31957,17709,19785,19785," 923,939,211,678 "
7/1/2022,19820,24573,18967,23337,23337," 927,582,363,389 "
8/1/2022,23337,25136,19601,20050,20050," 894,192,654,543 "
9/1/2022,20050,22674,18290,19432,19432," 1,123,272,250,385 "
10/1/2022,19431,20988,18320,20496,20496," 957,903,424,925 "
11/1/2022,20495,21447,15599,17169,17169," 1,224,531,549,126 "
12/1/2022,17168,18319,16398,16547,16547," 541,356,716,034 "
1/1/2023,16548,23920,16521,23139,23139," 690,994,018,045 "
2/1/2023,23138,25134,21460,23147,23147," 723,968,574,897 "
3/1/2023,23151,23881,23089,23475,23475," 45,049,239,716 "
3/3/2023,23479,23479,22265,22400,22400," 26,143,750,144 "
